,length (m),temperature (°C),Stokes,anti-Stokes
492,-248.019,-129.996,0.22,-0.03
493,-247.005,800.0,-0.217,-0.644
494,-245.99,-200.0,-0.076,0.522
495,-244.976,56.393,0.331,-0.322
496,-243.96099999999998,240.062,0.578,0.965
497,-242.946,-74.949,-0.8340000000000001,-0.299
498,-241.93200000000002,693.73,-0.281,-0.737
499,-240.917,303.181,0.27899999999999997,0.518
500,-239.903,34.727,0.547,0.479
501,-238.888,-22.131999999999998,0.718,-0.436
502,-237.873,-163.395,1.195,0.057
503,-236.859,169.792,0.253,0.36200000000000004
504,-235.84400000000002,-200.0,0.049,-0.25
505,-234.83,298.269,0.09300000000000001,0.172
506,-233.815,-166.222,-0.405,-0.017
507,-232.8,-136.257,0.044000000000000004,0.005
508,-231.78599999999997,800.0,-0.129,-0.534
509,-230.771,-90.18700000000001,0.996,-0.29
510,-229.757,70.735,-0.46299999999999997,-0.479
511,-228.74200000000002,241.48,-0.405,-0.677
512,-227.727,211.833,-0.442,-0.6970000000000001
513,-226.713,-103.045,0.836,0.198
514,-225.69799999999998,138.119,-0.15,0.19699999999999998
515,-224.68400000000003,-200.0,-0.046,0.36700000000000005
516,-223.669,-178.171,1.1340000000000001,-0.027000000000000003
517,-222.655,-69.193,1.122,-0.431
518,-221.64,800.0,0.161,0.669
519,-220.625,-152.862,-0.612,0.043
520,-219.611,-200.0,-0.3,1.4340000000000002
521,-218.59599999999998,-200.0,0.06,0.45799999999999996
522,-217.582,77.527,-0.387,-0.41200000000000003
523,-216.567,-35.485,0.7509999999999999,-0.408
524,-215.55200000000002,218.391,0.193,0.307
525,-214.53799999999998,74.888,0.452,-0.47600000000000003
526,-213.523,800.0,-0.07400000000000001,-0.24100000000000002
527,-212.50900000000001,-200.0,-0.012,-1.089
528,-211.49400000000003,-200.0,-0.076,-0.5770000000000001
529,-210.479,-95.661,-0.281,0.075
530,-209.465,-115.76100000000001,-0.066,0.012
531,-208.45,-35.979,0.406,-0.22
532,-207.43599999999998,-108.339,-0.326,0.07
533,-206.421,151.238,-0.332,-0.451
534,-205.40599999999998,137.688,-0.248,0.324
535,-204.392,-98.36399999999999,0.287,0.073
536,-203.377,674.091,0.26,0.675
537,-202.363,-200.0,-0.038,0.501
538,-201.34799999999998,-157.007,-0.401,-0.025
539,-200.333,800.0,-0.31,1.044
540,-199.31900000000002,-121.273,0.7040000000000001,0.11699999999999999
541,-198.304,82.697,0.33799999999999997,0.36700000000000005
542,-197.29,-104.77600000000001,-0.358,-0.08199999999999999
543,-196.275,-8.088,0.556,0.375
544,-195.26,57.858000000000004,0.266,0.26
545,-194.24599999999998,48.623999999999995,0.6920000000000001,0.648
546,-193.231,270.747,0.281,-0.495
547,-192.217,100.43799999999999,-0.281,-0.326
548,-191.202,38.457,-0.551,-0.49
549,-190.187,-32.839,0.44799999999999995,-0.248
550,-189.173,-13.317,-0.764,-0.495
551,-188.158,-138.369,0.907,0.1
552,-187.144,294.42,0.23,-0.42
